model_name,piqa_acc_norm,arc_easy_acc,hellaswag_acc_norm,valid_avg,config_name,train_the_cluster1,train_the_cluster2,train_the_cluster3,train_the_cluster4,train_the_cluster5,train_the_cluster6,train_the_cluster7,train_the_cluster8,train_the_cluster9,train_the_cluster10,train_the_cluster11
proxy_350m_32l_cosine_nemotron_cc_244x_n149,65.66920565832430,43.22390572390570,36.895040828520200,48.5960507369167,n149,0.2742,0.0498,0,0.0454,0,0,0,0.0202,0.545,0.0652,0
proxy_350m_32l_cosine_nemotron_cc_244x_n250,66.2676822633297,48.821548821548800,37.59211312487550,50.8937814032513,n250,0.4068,0.4412,0.0008,0.0004,0.0978,0.0002,0,0.0164,0,0.0352,0.0008
proxy_350m_32l_cosine_nemotron_cc_244x_n70,67.35582154515780,49.41077441077440,39.45429197371040,52.07362930988090,n70,0.0016,0.0228,0.1814,0.0012,0.001,0.1094,0.1878,0,0.1206,0.3664,0.0076
proxy_350m_32l_cosine_nemotron_cc_244x_n205,68.66158868335150,48.10606060606060,39.016132244572800,51.927927177995,n205,0.0214,0,0.1624,0,0.0088,0,0.0128,0.0024,0.0042,0.788,0
proxy_350m_32l_cosine_nemotron_cc_244x_n291,67.84548422198040,52.44107744107750,39.6036646086437,53.2967420905672,n291,0.0162,0.0156,0.001,0.0002,0.0114,0.3674,0.0304,0.3784,0.0062,0.0118,0.1612
proxy_350m_32l_cosine_nemotron_cc_244x_n102,68.11751904243740,51.388888888888900,39.64349731129260,53.0499684142063,n102,0.135,0.0126,0.0046,0.0304,0,0,0.0028,0.3134,0.0948,0.1578,0.2484
proxy_350m_32l_cosine_nemotron_cc_244x_n96,67.5734494015234,53.11447811447810,39.772953594901400,53.486960370301,n96,0.0074,0.3548,0.0304,0,0.0026,0.0154,0.0174,0.025,0.2362,0.0324,0.2784
proxy_350m_32l_cosine_nemotron_cc_244x_n435,66.97497279651800,49.70538720538720,39.782911770563600,52.1544239241563,n435,0.006,0,0.076,0,0,0.0282,0.0186,0.0414,0,0.0144,0.8154
proxy_350m_32l_cosine_nemotron_cc_244x_n477,67.19260065288360,41.792929292929300,36.45688109938260,48.4808036817318,n477,0.0114,0,0,0,0.0016,0,0,0,0.7022,0.2706,0.0142
proxy_350m_32l_cosine_nemotron_cc_244x_n29,67.24700761697500,52.77777777777780,40.37044413463450,53.46507650979580,n29,0,0.0014,0.0192,0.1434,0.0054,0,0.0024,0.3876,0.4072,0.0326,0.0006
proxy_350m_32l_cosine_nemotron_cc_244x_n24,67.08378672470080,51.010101010101,39.533957379008200,52.5426150379367,n24,0.0594,0.0008,0.1372,0.0004,0.001,0.2624,0.199,0.0076,0.0174,0.1566,0.1578
proxy_350m_32l_cosine_nemotron_cc_244x_n297,65.39717083786730,42.50841750841750,35.16231826329420,47.68930220319300,n297,0,0.055,0,0,0.0946,0.7042,0,0,0.1452,0.001,0
proxy_350m_32l_cosine_nemotron_cc_244x_n471,66.81175190424380,51.89393939393940,39.8725353515236,52.8594088832356,n471,0.0568,0,0.004,0.0028,0,0,0.127,0.1568,0.0674,0.5846,0.0008
proxy_350m_32l_cosine_nemotron_cc_244x_n277,67.13819368879220,52.65151515151520,40.1414060944035,53.3103716449036,n277,0.0218,0.0006,0.1252,0.0026,0.0048,0.003,0.3914,0.0054,0.058,0.355,0.0322
proxy_350m_32l_cosine_nemotron_cc_244x_n265,64.36343852013060,42.76094276094280,36.0884285998805,47.7376032936513,n265,0.704,0,0.0012,0.1372,0,0.1326,0,0,0,0.0248,0
proxy_350m_32l_cosine_nemotron_cc_244x_n80,66.86615886833520,45.74915824915830,37.11412069308900,49.90981260352750,n80,0.556,0,0,0.361,0,0,0,0.0012,0.0254,0.0562,0
proxy_350m_32l_cosine_nemotron_cc_244x_n482,68.28073993471170,55.42929292929290,39.922326229834700,54.5441196979464,n482,0.0002,0.3956,0.2608,0.0368,0.1068,0.004,0.0002,0,0.141,0.0468,0.0078
proxy_350m_32l_cosine_nemotron_cc_244x_n481,67.5734494015234,55.05050505050510,39.69328818960370,54.1057475472107,n481,0,0.0022,0.2898,0.5808,0,0.0016,0,0.0028,0.0114,0.0224,0.0892
proxy_350m_32l_cosine_nemotron_cc_244x_n142,68.00870511425460,54.503367003367000,39.762995419239200,54.0916891789536,n142,0,0.2214,0.0436,0,0,0,0.4778,0.1888,0.0028,0.0654,0
proxy_350m_32l_cosine_nemotron_cc_244x_n56,66.75734494015230,47.81144781144780,38.657637920732900,51.0754768907777,n56,0.0008,0,0.0016,0.0012,0.0014,0,0,0.0732,0.0054,0.9124,0.004
proxy_350m_32l_cosine_nemotron_cc_244x_n97,67.84548422198040,55.72390572390570,40.73889663413660,54.76942886000760,n97,0.0836,0.0012,0.0098,0.022,0.0554,0.007,0.1688,0.4062,0.154,0.0048,0.087
proxy_350m_32l_cosine_nemotron_cc_244x_n15,67.35582154515780,46.590909090909100,37.213702449711200,50.3868110285927,n15,0.5142,0,0.0666,0.1404,0,0.0762,0,0.0126,0.0626,0.0042,0.1234
proxy_350m_32l_cosine_nemotron_cc_244x_n134,66.43090315560390,47.053872053872100,38.39872535351520,50.6278335209971,n134,0.2094,0.013,0.0042,0.1132,0.064,0.0004,0.0004,0.0052,0.3226,0.071,0.1964
proxy_350m_32l_cosine_nemotron_cc_244x_n458,66.2676822633297,45.32828282828280,37.38299143596890,49.6596521758605,n458,0.0154,0.0022,0.0038,0.0462,0,0.3704,0.0484,0.0608,0.374,0.0788,0
proxy_350m_32l_cosine_nemotron_cc_244x_n182,68.28073993471170,50.2104377104377,39.29496116311490,52.5953796027548,n182,0.0194,0.0008,0.001,0,0.0016,0.0158,0.435,0.1162,0.354,0.0532,0.003
proxy_350m_32l_cosine_nemotron_cc_244x_n79,67.19260065288360,50.12626262626260,38.41864170483970,51.91250166132860,n79,0.0098,0,0,0.0172,0.2004,0,0.002,0.0228,0.3774,0.3704,0
proxy_350m_32l_cosine_nemotron_cc_244x_n439,67.6822633297062,47.264309764309800,38.79705238000400,51.2478751580067,n439,0.0016,0.0016,0,0.0078,0.0356,0,0.0146,0,0.3254,0.179,0.4342
proxy_350m_32l_cosine_nemotron_cc_244x_n9,68.33514689880310,52.52525252525250,39.4443337980482,53.4349110740346,n9,0.001,0,0.0636,0.066,0.2722,0.0006,0.034,0.0596,0.0146,0.4658,0.0226
proxy_350m_32l_cosine_nemotron_cc_244x_n454,66.43090315560390,51.97811447811450,38.91655048795060,52.44185604055630,n454,0.0076,0,0.0004,0.0702,0.0044,0.1708,0.4462,0.0506,0.011,0.1512,0.0874
proxy_350m_32l_cosine_nemotron_cc_244x_n213,67.02937976060940,52.861952861952900,39.772953594901400,53.2214287391546,n213,0.0028,0,0,0.236,0.0266,0.037,0.0004,0.2788,0.374,0.0296,0.0146
proxy_350m_32l_cosine_nemotron_cc_244x_n201,67.24700761697500,50.252525252525200,38.2194781915953,51.9063370203652,n201,0.3948,0.0344,0,0.0514,0.1184,0.0002,0.1334,0.0116,0.065,0.1288,0.0618
proxy_350m_32l_cosine_nemotron_cc_244x_n73,65.61479869423290,52.44107744107750,39.64349731129260,52.56645781553430,n73,0.009,0.1696,0.0008,0,0.0068,0.396,0.009,0.3922,0.0024,0.0132,0.001
proxy_350m_32l_cosine_nemotron_cc_244x_n283,67.41022850924920,49.70538720538720,39.59370643298150,52.23644071587260,n283,0.0008,0,0.005,0,0.002,0.0008,0.2504,0,0.2206,0.0326,0.4878
proxy_350m_32l_cosine_nemotron_cc_244x_n216,68.00870511425460,47.43265993265990,39.215295757817200,51.5522202682439,n216,0.163,0,0,0.103,0.0184,0.003,0,0.0222,0.0022,0.5296,0.1586
proxy_350m_32l_cosine_nemotron_cc_244x_n456,67.95429815016320,51.72558922558920,40.40031866162120,53.36006867912450,n456,0.0176,0.029,0.253,0.0052,0,0.092,0.0572,0.0106,0.0022,0.0036,0.53
proxy_350m_32l_cosine_nemotron_cc_244x_n110,66.32208922742110,46.170033670033700,38.080063732324200,50.190728876593,n110,0.4402,0,0,0.106,0,0.0148,0.0116,0.0012,0.0002,0.3716,0.0544
proxy_350m_32l_cosine_nemotron_cc_244x_n428,65.88683351468990,51.76767676767680,38.51822346146190,52.05757791460950,n428,0.0004,0.1084,0.001,0.3154,0.063,0.3402,0.004,0.0842,0.0002,0.0824,0.001
proxy_350m_32l_cosine_nemotron_cc_244x_n473,67.46463547334060,55.387205387205400,40.3505277833101,54.400789547952,n473,0,0.422,0.1994,0.0272,0.0008,0.0112,0.0618,0.0284,0.0076,0.1006,0.1414
proxy_350m_32l_cosine_nemotron_cc_244x_n448,64.25462459194780,47.264309764309800,36.168094005178300,49.229009453812,n448,0.0372,0.0248,0,0.0028,0,0.684,0.0496,0.144,0.008,0.0392,0.0104
proxy_350m_32l_cosine_nemotron_cc_244x_n286,66.2132752992383,51.89393939393940,38.25931089424420,52.1221751958073,n286,0,0.1794,0.0502,0.0378,0.0616,0.4074,0.1136,0.0422,0.0446,0.0266,0.0366
proxy_350m_32l_cosine_nemotron_cc_244x_n150,68.11751904243740,49.158249158249200,39.49412467635930,52.2566309590153,n150,0,0,0.0942,0,0,0.0004,0,0.0256,0.082,0.196,0.6018
proxy_350m_32l_cosine_nemotron_cc_244x_n124,67.35582154515780,47.6010101010101,38.94642501493730,51.3010855537017,n124,0.0218,0,0,0,0,0,0.0624,0.0034,0,0.641,0.2714
proxy_350m_32l_cosine_nemotron_cc_244x_n457,67.51904243743200,52.10437710437710,39.86257717586140,53.16199890589020,n457,0.0178,0.3756,0.0072,0.0048,0,0.0338,0,0.0036,0,0.2132,0.344
proxy_350m_32l_cosine_nemotron_cc_244x_n54,67.35582154515780,50.29461279461280,39.33479386576380,52.32840940184480,n54,0.0006,0.0734,0.0008,0.0006,0,0,0.0002,0.1062,0.1768,0.084,0.5576
proxy_350m_32l_cosine_nemotron_cc_244x_n287,67.6822633297062,54.33501683501680,40.37044413463450,54.1292414331192,n287,0.1156,0.3066,0.0046,0.0008,0,0,0,0.4232,0.057,0.0022,0.09
